X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.640701562500000000e+05,2.639960312500000000e+05,2.639481250000000000e+05,2.640690000000000000e+05,6.505742500000000000e+06,6.504940500000000000e+06,6.505093000000000000e+06,6.505912000000000000e+06,1.151999969482421875e+02,6.000000000000000000e+00,5.136645332926632612e+00
2.640685937500000000e+05,2.639943437500000000e+05,2.639448437500000000e+05,2.640684375000000000e+05,6.505736000000000000e+06,6.504941500000000000e+06,6.505093500000000000e+06,6.505922500000000000e+06,1.160999984741210938e+02,6.000000000000000000e+00,5.159724957443634352e+00
2.640669062500000000e+05,2.639929375000000000e+05,2.639416562500000000e+05,2.640680000000000000e+05,6.505729500000000000e+06,6.504936500000000000e+06,6.505096500000000000e+06,6.505935000000000000e+06,1.170000000000000000e+02,6.000000000000000000e+00,5.166147998038542966e+00
2.640648750000000000e+05,2.639917187500000000e+05,2.639384687500000000e+05,2.640675937500000000e+05,6.505722500000000000e+06,6.504928000000000000e+06,6.505100000000000000e+06,6.505948000000000000e+06,1.179000015258789062e+02,6.000000000000000000e+00,5.162260554529170875e+00
2.640625312500000000e+05,2.639906562500000000e+05,2.639351562500000000e+05,2.640672187500000000e+05,6.505715000000000000e+06,6.504920000000000000e+06,6.505102500000000000e+06,6.505962000000000000e+06,1.188000030517578125e+02,6.000000000000000000e+00,5.153820442265722335e+00
2.640599062500000000e+05,2.639897500000000000e+05,2.639316875000000000e+05,2.640669062500000000e+05,6.505707000000000000e+06,6.504913000000000000e+06,6.505104000000000000e+06,6.505977000000000000e+06,1.196999969482421875e+02,6.000000000000000000e+00,5.141178184755995417e+00
2.640569375000000000e+05,2.639889375000000000e+05,2.639281875000000000e+05,2.640666875000000000e+05,6.505699000000000000e+06,6.504906500000000000e+06,6.505105000000000000e+06,6.505993000000000000e+06,1.205999984741210938e+02,6.000000000000000000e+00,5.041213262114816018e+00
2.640536250000000000e+05,2.639882812500000000e+05,2.639244687500000000e+05,2.640665312500000000e+05,6.505690000000000000e+06,6.504900000000000000e+06,6.505105000000000000e+06,6.506009500000000000e+06,1.215000000000000000e+02,6.000000000000000000e+00,4.897667558579488656e+00
2.640500312500000000e+05,2.639877187500000000e+05,2.639206250000000000e+05,2.640664687500000000e+05,6.505680000000000000e+06,6.504894000000000000e+06,6.505103000000000000e+06,6.506027000000000000e+06,1.224000015258789062e+02,6.000000000000000000e+00,4.756286698156505288e+00
2.640461250000000000e+05,2.639872500000000000e+05,2.639167500000000000e+05,2.640665625000000000e+05,6.505670000000000000e+06,6.504888500000000000e+06,6.505100500000000000e+06,6.506045500000000000e+06,1.233000030517578125e+02,6.000000000000000000e+00,4.613871999184433470e+00
2.640420312500000000e+05,2.639869687500000000e+05,2.639127187500000000e+05,2.640668750000000000e+05,6.505659500000000000e+06,6.504882500000000000e+06,6.505097000000000000e+06,6.506065500000000000e+06,1.241999969482421875e+02,6.000000000000000000e+00,4.470701165300392077e+00
2.640376562500000000e+05,2.639867500000000000e+05,2.639085937500000000e+05,2.640673750000000000e+05,6.505648000000000000e+06,6.504876500000000000e+06,6.505092500000000000e+06,6.506085500000000000e+06,1.250999984741210938e+02,6.000000000000000000e+00,4.332966451877663161e+00
2.640330937500000000e+05,2.639865937500000000e+05,2.639044062500000000e+05,2.640680625000000000e+05,6.505636500000000000e+06,6.504872000000000000e+06,6.505086000000000000e+06,6.506106500000000000e+06,1.260000000000000000e+02,6.000000000000000000e+00,4.198176013991393063e+00
2.640283437500000000e+05,2.639867500000000000e+05,2.639001250000000000e+05,2.640692187500000000e+05,6.505624000000000000e+06,6.504867000000000000e+06,6.505079000000000000e+06,6.506128000000000000e+06,1.269000015258789062e+02,6.000000000000000000e+00,4.080813605200882321e+00
2.640235625000000000e+05,2.639869062500000000e+05,2.638957812500000000e+05,2.640707187500000000e+05,6.505611500000000000e+06,6.504863000000000000e+06,6.505071000000000000e+06,6.506151000000000000e+06,1.278000030517578125e+02,6.000000000000000000e+00,3.976108927116800196e+00
2.640187187500000000e+05,2.639872187500000000e+05,2.638913125000000000e+05,2.640726250000000000e+05,6.505598000000000000e+06,6.504858500000000000e+06,6.505062500000000000e+06,6.506174500000000000e+06,1.286999969482421875e+02,6.000000000000000000e+00,3.877097155062839917e+00
2.640137187500000000e+05,2.639876562500000000e+05,2.638869062500000000e+05,2.640749375000000000e+05,6.505584500000000000e+06,6.504855500000000000e+06,6.505053000000000000e+06,6.506198000000000000e+06,1.296000061035156250e+02,6.000000000000000000e+00,3.775936473056346276e+00
2.640088125000000000e+05,2.639882812500000000e+05,2.638824062500000000e+05,2.640778125000000000e+05,6.505571000000000000e+06,6.504852500000000000e+06,6.505042500000000000e+06,6.506223000000000000e+06,1.305000000000000000e+02,6.000000000000000000e+00,3.667917759903222219e+00
2.640039062500000000e+05,2.639892187500000000e+05,2.638778125000000000e+05,2.640812187500000000e+05,6.505556500000000000e+06,6.504851000000000000e+06,6.505031500000000000e+06,6.506249000000000000e+06,1.313999938964843750e+02,6.000000000000000000e+00,3.514680409977835929e+00
2.639991562500000000e+05,2.639903125000000000e+05,2.638731250000000000e+05,2.640852500000000000e+05,6.505542000000000000e+06,6.504850000000000000e+06,6.505020000000000000e+06,6.506275500000000000e+06,1.323000030517578125e+02,6.000000000000000000e+00,3.236657946392848206e+00
2.639945312500000000e+05,2.639915937500000000e+05,2.638683750000000000e+05,2.640898437500000000e+05,6.505527500000000000e+06,6.504849500000000000e+06,6.505008000000000000e+06,6.506302500000000000e+06,1.331999969482421875e+02,6.000000000000000000e+00,2.901114787359926783e+00
2.639901562500000000e+05,2.639930625000000000e+05,2.638635000000000000e+05,2.640950937500000000e+05,6.505512500000000000e+06,6.504850000000000000e+06,6.504995000000000000e+06,6.506331000000000000e+06,1.341000061035156250e+02,6.000000000000000000e+00,2.660551485084639012e+00
2.639859375000000000e+05,2.639948437500000000e+05,2.638585937500000000e+05,2.641009062500000000e+05,6.505498000000000000e+06,6.504851500000000000e+06,6.504982000000000000e+06,6.506359500000000000e+06,1.350000000000000000e+02,6.000000000000000000e+00,2.593587180302685091e+00
