X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.629526875000000000e+05,2.638074375000000000e+05,2.635520000000000000e+05,2.645417812500000000e+05,6.506377500000000000e+06,6.504755000000000000e+06,6.505945000000000000e+06,6.504867500000000000e+06,9.305325317382812500e+01,6.000000000000000000e+00,1.184565743400040505e+00
2.644552812500000000e+05,2.644641562500000000e+05,2.628780000000000000e+05,2.641801562500000000e+05,6.506614000000000000e+06,6.505383000000000000e+06,6.506614000000000000e+06,6.506060500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.765917179187977082e+00
2.643324375000000000e+05,2.635959687500000000e+05,2.629426250000000000e+05,2.643060000000000000e+05,6.506614000000000000e+06,6.505836500000000000e+06,6.505748000000000000e+06,6.505546000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.150255210230711311e+00
2.628863125000000000e+05,2.647780000000000000e+05,2.645767187500000000e+05,2.637206250000000000e+05,6.506614000000000000e+06,6.505321500000000000e+06,6.505574000000000000e+06,6.505657000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.435458681533829051e+00
2.633630937500000000e+05,2.628780000000000000e+05,2.637630000000000000e+05,2.628780000000000000e+05,6.506477500000000000e+06,6.505301500000000000e+06,6.506298500000000000e+06,6.504997000000000000e+06,9.196611022949218750e+01,6.000000000000000000e+00,5.838863855138185510e-01
2.647769062500000000e+05,2.646830000000000000e+05,2.639215937500000000e+05,2.632784375000000000e+05,6.504770500000000000e+06,6.506601000000000000e+06,6.505315000000000000e+06,6.505463500000000000e+06,9.160874938964843750e+01,6.000000000000000000e+00,1.453626478564960856e+00
2.646274687500000000e+05,2.628780000000000000e+05,2.631662187500000000e+05,2.647780000000000000e+05,6.505087500000000000e+06,6.505337500000000000e+06,6.505049000000000000e+06,6.505993000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,4.205042192511362353e-01
2.647780000000000000e+05,2.639385625000000000e+05,2.641102812500000000e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.505034500000000000e+06,6.504714000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.846620887984304904e+00
2.636169062500000000e+05,2.641474687500000000e+05,2.637503125000000000e+05,2.645735312500000000e+05,6.506480500000000000e+06,6.505000500000000000e+06,6.506100000000000000e+06,6.505388000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.536557329667324279e+00
2.631314062500000000e+05,2.639308125000000000e+05,2.628780000000000000e+05,2.628780000000000000e+05,6.506478500000000000e+06,6.506614000000000000e+06,6.506454000000000000e+06,6.506614000000000000e+06,9.417687225341796875e+01,6.000000000000000000e+00,8.898158429548469472e-01
2.647780000000000000e+05,2.647780000000000000e+05,2.647780000000000000e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.506454000000000000e+06,6.504714000000000000e+06,6.504874000000000000e+06,9.484133148193359375e+01,6.000000000000000000e+00,1.497403520808225474e+00
2.642286250000000000e+05,2.643672187500000000e+05,2.639773437500000000e+05,2.629218125000000000e+05,6.504733500000000000e+06,6.504813500000000000e+06,6.506005000000000000e+06,6.504863500000000000e+06,9.456152343750000000e+01,6.000000000000000000e+00,1.763617311373928187e+00
2.640883125000000000e+05,2.647017812500000000e+05,2.635685000000000000e+05,2.639148750000000000e+05,6.505120000000000000e+06,6.504974500000000000e+06,6.505935500000000000e+06,6.506088000000000000e+06,9.270719146728515625e+01,6.000000000000000000e+00,2.084926081829947986e+00
