X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.638553275077342987e+05,2.636262166409492493e+05,2.638819786934852600e+05,2.647780000000000000e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.455760196285300623e+00
2.638331412701606750e+05,2.637254257260560989e+05,2.641128211348056793e+05,2.647780000000000000e+05,6.504924697174072266e+06,6.506614000000000000e+06,6.506530991895437241e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.401821125471686358e+00
2.638538528947830200e+05,2.637271407096385956e+05,2.638871406881809235e+05,2.647719027965068817e+05,6.505478919540286064e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.505510860918402672e+06,1.200000008940696716e+02,6.000000059604644775e+00,4.253674657131757186e+00
2.638249867885112762e+05,2.638530553965568542e+05,2.639199620096683502e+05,2.640060409693717957e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.505161018367052078e+06,6.505718587405920029e+06,1.200000008940696716e+02,6.000000059604644775e+00,4.442091809438119654e+00
2.638190494357347488e+05,2.638699908523559570e+05,2.647780000000000000e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000931e+06,6.504964150375068188e+06,6.505731257684469223e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.071856341806207702e+00
2.638239397464990616e+05,2.638106056033372879e+05,2.640242936222553253e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.505186432903945446e+06,6.505747308780193329e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.728894572437032373e+00
2.638367834656238556e+05,2.637633318065404892e+05,2.636033317713737488e+05,2.628780000000000000e+05,6.505837974543809891e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.505636147357463837e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.705321643494086103e+00
2.638450485913753510e+05,2.637812089829444885e+05,2.637809920548200607e+05,2.640421485452651978e+05,6.504714000000000000e+06,6.504860729523688555e+06,6.505021146611809731e+06,6.505593860359430313e+06,1.200000008940696716e+02,6.000000059604644775e+00,4.634980199321386607e+00
2.638541552691459656e+05,2.637699543147087097e+05,2.635758494524955750e+05,2.640833201556205750e+05,6.504714000000000000e+06,6.504850052183806896e+06,6.505358742491841316e+06,6.505548732174873352e+06,1.200000008940696716e+02,6.000000059604644775e+00,4.131121143267042939e+00
2.638395692734718323e+05,2.637568803040981293e+05,2.639995692520141602e+05,2.638921238629817963e+05,6.504714000000000000e+06,6.505409050111413002e+06,6.504714000000000000e+06,6.505607819975852966e+06,1.200000008940696716e+02,6.000000059604644775e+00,4.123291476476796724e+00
